word           frequency      
----           ---------      
-123                   1
-123                   2
-123                   3
-123                   4
-456                   1
-456                   2
-456                   3
-456                   4
100-200                1
100-200                2
100-200                3
100-200                4
100.200                1
100.200                2
100.200                3
100.200                4
123,456,789            1
123,456,789            2
123,456,789            3
123,456,789            4
aaa-bbb                1
aaa-bbb                2
aaa-bbb                3
aaa-bbb                4
abc                    1
abc                    2
abc                    3
abc                    4
alpha                  1
alpha                  2
alpha                  3
alpha                  4
bbb                    1
bbb                    2
bbb                    3
bbb                    4
beta                   1
beta                   2
beta                   3
beta                   4
ddd::eee               1
ddd::eee               2
ddd::eee               3
ddd::eee               4
def                    1
def                    2
def                    3
def                    4
file.zip               1
file.zip               2
file.zip               3
file.zip               4
hhh::iii               1
hhh::iii               2
hhh::iii               3
hhh::iii               4
hij                    1
hij                    2
hij                    3
hij                    4
html                   1
html                   2
html                   3
html                   4
hyphen                 1
hyphen                 2
hyphen                 3
hyphen                 4
hyphen-hyphen          1
hyphen-hyphen          2
hyphen-hyphen          3
hyphen-hyphen          4
input                  1
input                  2
input                  3
input                  4
jj                     1
jj                     2
jj                     3
jj                     4
klm                    1
klm                    2
klm                    3
klm                    4
law.com                1
law.com                2
law.com                3
law.com                4
output                 1
output                 2
output                 3
output                 4
Number of words: 230
Vocabulary Size: 92
