word           frequency      
----           ---------      
a                     50
abandoned              1
abhorrent              1
absorb                 1
accomplished           1
account                3
across                 1
actions                1
active                 1
activity               1
address                1
adjusted               1
adler                  2
admirable              1
admirably              1
admit                  1
again                  2
against                1
ago                    1
akin                   1
all                    8
almost                 1
aloud                  1
alternating            1
always                 2
am                     3
ambition               1
amiss                  1
among                  1
an                     5
and                   49
answered               2
any                    2
apiece                 1
appears                1
are                    8
armchair               2
around                 1
as                    10
asked                  1
at                     7
atkinson               1
attention              1
attracted              1
away                   1
baffled                1
baker                  1
balanced               1
be                    11
beauties               1
because                1
been                   6
before                 2
begins                 1
believe                1
bell                   1
better                 1
between                1
beyond                 1
bit                    1
black                  1
bohemia                1
bohemian               2
books                  1
boot-slitting          1
boswell                1
both                   1
bought                 1
brothers               1
brougham               1
bulge                  1
buried                 1
burned                 1
but                   10
by                     9
call                   1
came                   2
can                    1
can't                  1
capital                1
carefully              1
careless               1
carelessly             1
case                   4
caused                 1
centuries              1
certainly              1
chamber                1
changed                1
chronicle              1
chuckled               1
cigarette              1
cigars                 1
clear                  1
clearing               2
clothes                1
clues                  1
clumsy                 1
cocaine                1
cold                   1
comes                  1
companion              1
companion's            1
complete               1
construction           1
consult                1
continued              1
corner                 1
could                  4
country                1
crack                  1
crime                  1
crown                  1
crusted                1
curb                   1
cuts                   1
daily                  1
data                   2
dear                   1
deduce                 3
deduction              2
deepest                1
deeply                 1
delicate               1
delicately             1
desires                1
did                    2
discover               1
distinction            1
distracting            1
disturbing             1
do                    11
doctor                 1
doings                 1
don't                  1
double                 1
doubt                  2
doubts                 1
down                   1
drawing                1
dreadful               1
drifted                1
drowsiness             1
drug                   1
dubious                1
dull                   1
e                      1
each                   2
ease                   1
easily                 1
eclipses               1
edges                  1
effusive               1
eight                  1
either                 1
else                   1
emotion                2
emotions               1
endeavouring           1
energy                 1
english                1
enough                 1
establishment          1
europe                 1
ever                   1
every                  1
exaggerated            1
examined               1
example                1
experiences            1
explain                1
explained              1
extraordinary          1
eye                    1
eyes                   3
face                   1
factor                 1
facts                  2
faculties              1
fail                   1
false                  1
family                 1
fancy                  1
fashion                1
felt                   1
few                    1
fierce                 1
fifty                  1
finally                1
finds                  1
finely                 1
fire                   1
firelight              1
first                  1
followed               1
following              1
for                    6
forefinger             1
form                   1
former                 1
frenchman              1
frequently             2
friend                 1
from                   9
g                      2
gasogene               1
gentleman              2
german                 3
getting                1
gibe                   1
girl                   1
give                   1
given                  1
glad                   1
glancing               1
go                     2
good                   2
grating                1
grit                   1
guineas                1
had                   10
half                   2
hall                   1
hands                  1
happiness              1
hardly                 2
harness                1
has                    5
have                  18
he                    21
hear                   1
heard                  2
help                   1
hence                  1
her                    3
here                   1
high-power             1
him                    3
himself                4
his                   26
hold                   1
holland                1
holmes                 8
home                   1
home-centred           1
hoofs                  1
hopeless               1
horses                 1
hour                   1
houses                 1
how                    7
however                1
hundred                1
hundreds               1
i                     42
if                     5
imagine                2
imitate                1
immense                1
importance             1
in                    20
incorrigible           1
indeed                 3
indicated              1
insensibly             1
inside                 1
instance               1
instead                1
instrument             1
intended               1
interested             2
interesting            1
interests              1
into                   5
introduce              1
introspective          1
intrusions             1
iodoform               1
irene                  2
is                    18
it                    28
itself                 2
jane                   1
just                   3
keen                   1
kindly                 1
knew                   1
know                   4
large                  2
last                   1
late                   1
lately                 2
laughing               1
lead                   1
leather                1
left                   1
lenses                 1
light                  1
lighting               1
little                 5
lived                  1
loathed                1
lodgings               1
london                 1
long                   1
looked                 1
lost                   1
love                   1
lover                  1
lying                  1
machine                1
made                   1
make                   1
maker                  1
malignant              1
man                    3
manner                 1
many                   2
mark                   1
marriage               1
mary                   1
mask                   2
master                 1
matter                 1
matters                1
may                    2
me                     6
means                  1
medical                1
member                 1
memory                 1
men's                  1
mental                 1
mention                1
merely                 1
mess                   1
might                  1
mind                   1
miss                   1
mission                1
mistake                1
mistaken               1
moment                 1
money                  1
monogram               1
more                   3
most                   2
motives                1
much                   1
mud                    1
murder                 1
must                   1
my                    15
myself                 1
mysteries              1
mystery                1
name                   2
nature                 2
nervous                1
