Text Analysis for files: cleanup.eg, tiny.txt, tiny.txt

word                 frequency
----                 ---------
-123                         4
-456                         4
100-200                      4
100.200                      4
12                           2
123,456,789                  4
15                           2
1661                         2
17                           2
1858                         2
1888                         2
1890                         4
1971                         2
1999                         2
2,000                        2
2002                         2
27                           2
29                           2
30                           2
30,000                       4
4                            8
5:15                         2
7                            2
9                            2
\abc\def                     1
a                          934
aaa-bbb                      4
abandoned                    2
abbots                       2
abc                          4
abhorrent                    2
able                        16
about                       60
above                       12
abruptly                     2
absence                      4
absolute                     6
absolutely                   6
absorb                       2
absorbing                    2
abutted                      4
accent                       2
accomplice                   2
accomplice's                 2
accomplished                 2
account                     10
accountant                   2
accustomed                   6
acid                         2
acknowledges                 2
acquaintance                 2
across                      12
action                       4
actions                      2
active                       2
activity                     2
actor                        2
actress                      2
acute                        4
added                        2
addition                     2
additional                   2
address                     22
addressing                   2
adjusted                     4
adler                       26
admirable                    4
admirably                    6
admiration                   2
admit                        4
adopted                      2
advantage                    4
advantages                   2
adventure                   18
adventures                  10
adventuress                  2
advertisement               26
advice                       4
advise                       2
affair                       6
affairs                      2
affect                       2
afraid                       4
after                       44
afternoon                   12
afterwards                   4
again                       26
against                     18
age                          6
agent                       14
agitation                    2
ago                         10
agra                         2
agree                        2
ah                           4
air                          8
aisle                        2
akin                         4
alarm                        8
alas                         2
albert                       2
aldersgate                   2
all                        136
all-important                2
almost                      10
alone                        4
along                        4
aloud                        2
alpha                        4
already                     16
also                        20
altar                        6
alternately                  2
alternating                  2
altogether                   4
always                      20
am                          80
amazement                    2
amazing                      2
ambition                     2
american                     4
amiable                      2
amid                         2
amiss                        2
among                       10
amount                       4
amply                        2
an                         136
and                       1074
animated                     4
announced                    2
announcement                 4
annoyance                    2
another                     18
answer                       4
answered                    36
antagonist                   2
anxiety                      2
anxious                      2
any                         38
anyhow                       2
anyone                       6
anything                    18
apart                        2
aperture                     2
apiece                       2
apology                      2
apparent                     2
apparently                   2
appear                       2
appearance                   8
appeared                    14
appears                      2
applicant                    2
apply                       12
applying                     2
april                        2
aquiline                     2
arc-and-compass              2
archery                      2
archie                       2
architecture                 2
are                        112
area                         2
arm                          2
armchair                    12
armed                        2
armour                       2
arms                         2
army                         2
arnsworth                    2
around                       2
arranged                     4
arrangements                 2
arrest                       2
arrived                      2
arteries                     2
arthur                       8
artificial                   2
as                         304
ascertaining                 2
ascii                        2
ashamed                      2
aside                        2
ask                          6
askance                      2
asked                       42
asks                         2
asleep                       2
asserted                     2
assistant                   26
assistant's                  2
assistants                   2
assisting                    2
associated                   4
assumed                      2
assure                       2
assuring                     2
astrakhan                    2
astuteness                   2
at                         246
atkinson                     2
atmosphere                   2
attempt                      8
attempts                     6
attend                       2
attended                     2
attention                    8
attica                       2
attitude                     2
attracted                    2
august                       2
authenticity                 2
author                       2
authoritative                2
autumn                       2
avail                        2
avenue                       8
average                      2
averse                       2
awaiting                     2
aware                        8
away                        24
awkward                      2
b's                          2
baby                         2
bachelor                     6
back                        30
backward                     2
bad                          6
bade                         2
baffled                      2
bag                          2
baggy                        4
bags                         2
baker                       18
balanced                     2
balancing                    4
balls                        2
band                         2
bands                        2
bank                        18
banker                       2
banks                        2
barbaric                     2
barrel                       2
barrow                       2
bashful                      2
bbb                          4
be                         228
beamed                       2
bear                         2
beat                         2
beaten                       4
beating                      2
beauties                     2
beautiful                    4
beautifully                  4
became                      10
because                     12
become                       4
becomes                      4
bed                          2
bedroom                      6
bedtime                      2
beeches                      2
beef                         2
been                        98
beer                         2
before                      44
beg                          6
began                       10
begin                        6
begins                       2
behind                      24
being                       14
belief                       4
believe                      6
bell                         8
bell-pull                    4
below                        4
benefactor                   4
benevolent                   2
bequest                      2
berths                       2
beryl                        4
beside                       4
besides                      6
best                        10
beta                         4
betrayed                     2
betrothal                    2
better                      22
between                     16
beyond                       6
bijou                        2
bill                         2
billet                       4
binding                      2
biographies                  2
biography                    2
bird                         2
bit                          8
bizarre                      4
black                       12
black-letter                 2
blackest                     2
blackmailing                 2
blanche                      2
blandly                      2
blazing                      4
blind                        2
blinds                       2
block                        2
blocked                      2
blood                        4
blotting-paper               2
blow                         2
blue                         6
board                        2
bob                          2
body                         4
bohemia                     18
bohemian                     6
bonnet                       2
books                        2
boot-slitting                2
boots                        2
bore                         4
born                         2
borne                        2
borrowed                     2
boscombe                     2
boswell                      2
both                        16
bottle                       2
bottom                       2
bought                       8
bound                        2
bow                          2
bowed                        4
boxes                        4
boy                          2
boyish                       2
bracelets                    2
brain                        2
branch                       6
brassy                       2
brave                        4
breaking                     4
breaks                       2
breastpin                    2
breathing                    4
