Text Analysis for files: tiny.txt

word                 frequency
----                 ---------
12                           1
15                           1
1661                         1
17                           1
1858                         1
1888                         1
1890                         2
1971                         1
1999                         1
2,000                        1
2002                         1
27                           1
29                           1
30                           1
30,000                       2
4                            4
5:15                         1
7                            1
9                            1
a                          467
abandoned                    1
abbots                       1
abhorrent                    1
able                         8
about                       30
above                        6
abruptly                     1
absence                      2
absolute                     3
absolutely                   3
absorb                       1
absorbing                    1
abutted                      2
accent                       1
accomplice                   1
accomplice's                 1
accomplished                 1
account                      5
accountant                   1
accustomed                   3
acid                         1
acknowledges                 1
acquaintance                 1
across                       6
action                       2
actions                      1
active                       1
activity                     1
actor                        1
actress                      1
acute                        2
added                        1
addition                     1
additional                   1
address                     11
addressing                   1
adjusted                     2
adler                       13
admirable                    2
admirably                    3
admiration                   1
admit                        2
adopted                      1
advantage                    2
advantages                   1
adventure                    9
adventures                   5
adventuress                  1
advertisement               13
advice                       2
advise                       1
affair                       3
affairs                      1
affect                       1
afraid                       2
after                       22
afternoon                    6
afterwards                   2
again                       13
against                      9
age                          3
agent                        7
agitation                    1
ago                          5
agra                         1
agree                        1
ah                           2
air                          4
aisle                        1
akin                         2
alarm                        4
alas                         1
albert                       1
aldersgate                   1
all                         68
all-important                1
almost                       5
alone                        2
along                        2
aloud                        1
already                      8
also                        10
altar                        3
alternately                  1
alternating                  1
altogether                   2
always                      10
am                          40
amazement                    1
amazing                      1
ambition                     1
american                     2
amiable                      1
amid                         1
amiss                        1
among                        5
amount                       2
amply                        1
an                          68
and                        537
animated                     2
announced                    1
announcement                 2
annoyance                    1
another                      9
answer                       2
answered                    18
antagonist                   1
anxiety                      1
anxious                      1
any                         19
anyhow                       1
anyone                       3
anything                     9
apart                        1
aperture                     1
apiece                       1
apology                      1
apparent                     1
apparently                   1
appear                       1
appearance                   4
appeared                     7
appears                      1
applicant                    1
apply                        6
applying                     1
april                        1
aquiline                     1
arc-and-compass              1
archery                      1
archie                       1
architecture                 1
are                         56
area                         1
arm                          1
armchair                     6
armed                        1
armour                       1
arms                         1
army                         1
arnsworth                    1
around                       1
arranged                     2
arrangements                 1
arrest                       1
arrived                      1
arteries                     1
arthur                       4
artificial                   1
as                         152
ascertaining                 1
ascii                        1
ashamed                      1
aside                        1
ask                          3
askance                      1
asked                       21
asks                         1
asleep                       1
asserted                     1
assistant                   13
assistant's                  1
assistants                   1
assisting                    1
associated                   2
assumed                      1
assure                       1
assuring                     1
astrakhan                    1
astuteness                   1
at                         123
atkinson                     1
atmosphere                   1
attempt                      4
attempts                     3
attend                       1
attended                     1
attention                    4
attica                       1
attitude                     1
attracted                    1
august                       1
authenticity                 1
author                       1
authoritative                1
autumn                       1
avail                        1
avenue                       4
average                      1
averse                       1
awaiting                     1
aware                        4
away                        12
awkward                      1
b's                          1
baby                         1
bachelor                     3
back                        15
backward                     1
bad                          3
bade                         1
baffled                      1
bag                          1
baggy                        2
bags                         1
baker                        9
balanced                     1
balancing                    2
balls                        1
band                         1
bands                        1
bank                         9
banker                       1
banks                        1
barbaric                     1
barrel                       1
barrow                       1
bashful                      1
be                         114
beamed                       1
bear                         1
beat                         1
beaten                       2
beating                      1
beauties                     1
beautiful                    2
beautifully                  2
became                       5
because                      6
become                       2
becomes                      2
bed                          1
bedroom                      3
bedtime                      1
beeches                      1
beef                         1
been                        49
beer                         1
before                      22
beg                          3
began                        5
begin                        3
begins                       1
behind                      12
being                        7
belief                       2
believe                      3
bell                         4
bell-pull                    2
below                        2
benefactor                   2
benevolent                   1
bequest                      1
berths                       1
beryl                        2
beside                       2
besides                      3
best                         5
betrayed                     1
betrothal                    1
better                      11
between                      8
beyond                       3
bijou                        1
bill                         1
billet                       2
binding                      1
biographies                  1
biography                    1
bird                         1
bit                          4
bizarre                      2
black                        6
black-letter                 1
blackest                     1
blackmailing                 1
blanche                      1
blandly                      1
blazing                      2
blind                        1
blinds                       1
block                        1
blocked                      1
blood                        2
blotting-paper               1
blow                         1
blue                         3
board                        1
bob                          1
body                         2
bohemia                      9
bohemian                     3
bonnet                       1
books                        1
boot-slitting                1
boots                        1
bore                         2
born                         1
borne                        1
borrowed                     1
boscombe                     1
boswell                      1
both                         8
bottle                       1
bottom                       1
bought                       4
bound                        1
bow                          1
bowed                        2
boxes                        2
boy                          1
boyish                       1
bracelets                    1
brain                        1
branch                       3
brassy                       1
brave                        2
breaking                     2
breaks                       1
breastpin                    1
breathing                    2
brick                        2
bride                        1
bridegroom                   1
briefly                      1
bright                       1
bright-looking               1
brightly                     1
brilliant                    1
brilliantly                  1
bring                        5
briony                      11
britannica                   2
british                      1
broad                        3
broad-brimmed                1
broke                        2
broken                       1
brooch                       1
brothers                     1
brougham                     4
brought                      4
brown                        4
brushed                      1
buckles                      1
budge                        1
build                        1
building                     2
built                        1
bulge                        1
bulky                        1
bulldog                      1
bullion                      2
burglars                     1
burgled                      1
buried                       1
burned                       1
burrowing                    2
burst                        1
bushes                       1
busier                       1
business                    23
busy                         1
but                        107
butted                       1
buttoning                    1
by                          64
c'est                        2
cab                          7
cabby                        1
cabinet                      2
cabman                       2
cabs                         1
call                        11
called                       6
calls                        1
calves                       1
came                        16
camera                       1
campaign                     1
can                         21
can't                        3
candid                       1
candidate                    1
cannot                       3
cap                          1
capable                      2
capital                      1
carbuncle                    1
card                         1
cardboard                    2
cards                        1
care                         2
cared                        2
careful                      2
carefully                    1
careless                     1
carelessly                   1
carlsbad                     1
carpenter                    1
carree                       1
carriage                     3
carriage-building              1
carried                      3
carries                      2
carry                        3
carte                        1
case                        15
cases                        4
cassel-felstein              1
castle                       1
catch                        1
caught                       5
cause                        2
caused                       1
ceased                       1
celebrated                   1
cellar                      10
centre                       2
centuries                    1
certain                      1
certainly                    6
certificates                 1
chagrin                      2
chain                        3
chair                       12
chairman                     2
chairs                       1
chamber                      2
chambers                     2
chamois                      1
chance                       4
chances                      1
change                       4
changed                      2
changing                     1
character                    6
charing                      1
chase                        3
chat                         1
cheap                        1
check                        2
cheekbones                   1
cheer                        1
chest                        3
child                        1
chin                         1
china                        4
chinese                      1
chink                        1
chisel                       1
choked                       2
choose                       1
chronicle                    3
chubb                        1
chuckled                     2
church                       6
cigar-shaped                 1
cigarette                    2
cigars                       2
circumstances                1
city                         7
civil                        1
claim                        1
clapped                      1
clasped                      1
clattered                    1
claws                        1
clay                         8
clay's                       1
clean                        1
clean-cut                    1
clean-shaven                 1
clear                        9
clearing                     2
clearly                      1
clergyman                    5
clever                       1
cleverness                   1
client                      10
clients                      1
climbing                     1
clinked                      1
cloak                        2
close                        4
closed                       4
closely                      2
closing                      3
cloth                        1
clothes                      3
clotilde                     1
cloud                        1
clouds                       1
clue                         1
clues                        1
clumps                       1
clumsy                       1
clutched                     1
co                           1
co-operation                 1
coach-house                  1
coachman                     3
coat                         2
coat-tails                   1
cobbler's                    1
coburg                       3
cocaine                      1
cocked                       2
coffee                       2
coin                         1
cold                         3
coldly                       1
collar                       2
colleague                    1
colour                       4
column                       2
combinations                 1
come                        28
comes                        5
comfortable                  1
comical                      1
coming                       5
commerce                     1
committed                    2
common                       1
commonplace                  3
commonplaces                 1
communicate                  1
communicative                1
companion                    6
companion's                  1
companions                   1
company                      2
comparing                    1
compelled                    2
competition                  1
complain                     1
complete                     4
completed                    2
completely                   3
complicates                  1
compliment                   1
complimented                 1
comply                       1
composer                     1
compromise                   1
compromised                  1
compromising                 1
compunction                  2
computers                    1
conan                        4
conceal                      2
concealment                  1
conceive                     1
concerned                    1
concerning                   1
concert                      1
concerts                     1
conclusion                   3
condescend                   1
conditions                   1
conduct                      1
conducted                    1
confess                      2
confidant                    1
confide                      1
confidence                   1
confined                     2
confused                     1
congratulate                 1
congratulated                1
connected                    1
consequential                1
considerable                 5
consideration                1
consisted                    1
conspiring                   1
construction                 1
consult                      2
consulting                   1
contains                     1
contemplation                1
contemplative                1
contents                     1
continent                    1
continental                  1
continue                     2
continued                    2
contraction                  1
contralto                    1
contrary                     3
contrast                     1
contributed                  1
conundrums                   1
convenience                  1
conventions                  1
conversation                 2
conveyed                     2
cooking                      1
coolest                      1
coolness                     1
copier                       1
copper                       2
copy                         1
copying                      2
copyright                    2
cordially                    1
corner                      10
cornwall                     1
coronet                      1
correct                      1
corridor                     1
cost                         2
coster's                     1
costume                      2
couch                        3
could                       48
count                        3
country                      5
counts                       1
couple                       3
couples                      1
course                      10
court                        3
crack                        2
cracks                       1
crate                        3
crates                       1
creature                     1
crib                         2
cried                       12
crime                        5
crimes                       3
criminal                     2
criminals                    2
crop                         2
cross                        1
crouched                     1
crowd                        5
crowded                      2
crown                        2
cruelly                      1
crusted                      1
cry                          5
cuff                         1
cunning                      1
cup                          1
curb                         1
curiosity                    1
curious                      1
curled                       2
curt                         1
curve                        1
custody                      1
custom                       1
customary                    1
cuts                         1
daily                        1
daintiest                    1
danger                       1
dangling                     1
dank                         1
dared                        1
daring                       5
dark                        10
darkness                     2
darlington                   1
dashed                       2
dashing                      1
data                         2
date                         2
dated                        1
daughter                     1
dawn                         1
day                         15
days                         4
dead                         1
deal                         5
dealings                     1
dear                        12
death                        1
debts                        1
deceived                     1
deduce                       4
deduction                    2
deep                         5
deep-sea                     1
deeper                       1
deepest                      1
deeply                       2
defeated                     1
deference                    1
degrees                      1
dejected                     1
delay                        1
delicacy                     3
delicate                     4
delicately                   1
delight                      1
delighted                    1
dense                        1
departed                     1
departure                    1
depended                     1
depicted                     1
depot                        1
depressing                   1
derbies                      1
descended                    1
description                  1
desire                       2
desires                      1
desirous                     1
desk                         1
despair                      2
desperation                  1
detail                       1
details                      1
detected                     1
detective                    2
determined                   3
deuce                        1
develop                      1
developed                    1
devil                        1
devouring                    1
did                         27
didn't                       1
die                          1
died                         1
different                    3
difficult                    4
difficulties                 1
diligence                    1
dimly                        1
dingy                        1
dinner                       1
direction                    3
directions                   2
director                     3
directors                    3
dirty                        1
disadvantage                 1
disappearance                1
disappeared                  2
disappointment               1
discontent                   1
discover                     1
discovered                   1
discretion                   1
discuss                      1
disentangled                 1
disguises                    1
disgust                      1
dismantled                   1
dismissed                    1
disqualify                   1
disreputable                 1
dissolved                    1
distinction                  1
distinguish                  1
distracting                  1
disturbing                   1
dived                        1
diverted                     1
divined                      1
